textId,sentence,avl_valence,avl_arouse,sd_valence,sd_arouse
1,和親公主的皖雅，也逃脫不了所謂“貢物”的命運，絢爛一時的愛情，到頭來終究抵不上江山一角。,3.33333333333,3.83333333333,0.471404520791,0.897527467856
2,愛情，如此完美卻又失落，皖雅的結局，苦澀卻又實際地描繪了宮廷女子悲婉的一生。,3.75,3.0,0.829156197589,1.0
3,看盡世間無限遺憾，只因愛情如此脆弱。,3.25,3.83333333333,0.433012701892,0.687184270936
4,書今天朋友已經收到了。,5.125,4.0,0.330718913883,0.816496580928
5,但我相信它會和我手中的這本書一樣溫馨美好。,6.375,5.14285714286,0.484122918276,0.832993127835
6,對於整個購書過程我很滿意。,7.28571428571,3.42857142857,0.699854212224,1.04978131834
7,我是第一次讀龍應臺的書，流暢的文筆，深深的內涵，對兒子的關愛，平等的推心置腹，思想觀唸的碰撞火花竟然這般的美麗而感人。,7.125,5.85714285714,0.7806247498,0.638876565
8,兩代人之間的鴻溝在優美的文字中慢慢地彌合，讓我回味、思考了很多。,6.0,4.0,0.0,0.632455532034
9,推薦給我的兒子、朋友們。,6.75,4.66666666667,0.433012701892,0.7453559925
10,書中攝影作品以及文字都向讀者呈現另一個完全不同的時空，我想熱衷於此苦旅之樂的人們，受得起苦，覺得萬分值得的也是這一份精神體驗的快樂。,6.33333333333,5.625,0.471404520791,0.484122918276
11,剛開始看的時候心情是平靜的，看到中間真的期待她有個好的結局，有個好的人生，可是不樂觀的情節越來越多，如預感，結局讓人很心痛，但是也讓人平靜。,5.5,3.83333333333,0.5,0.897527467856
12,看完這本書的時候，我內心對愛情的看法再次進行了調整，身不由己的調整。,5.28571428571,4.6,0.451753951453,0.489897948557
13,生活的力量真的足夠巨大，巨大的讓人可以平靜來面對這一切的過眼雲煙和眼前與期待相差甚遠的平淡。,4.375,3.2,0.85695682505,0.979795897113
14,不過，很滿足，平淡才最真實~~,6.0,4.66666666667,0.0,0.7453559925
15,故事情節的發展，我也心中甜蜜，酸楚，失落，幸福。,5.125,4.57142857143,0.7806247498,1.04978131834
16,我們的生活中也需要激情，在小說當中會找到我們也曾有過的戀愛的感覺。,6.0,4.71428571429,0.0,0.451753951453
